Time,PV power,Solar radiation,Wind power,Wind speed,Temperature
18-06-2022 21:00,0,0.0,0,4.63,16.34
18-06-2022 22:00,0,0.0,0,3.6,15.34
18-06-2022 23:00,0,0.0,0,2.57,15.34
19-06-2022 00:00,0,0.0,0,2.57,15.34
19-06-2022 01:00,0,0.0,0,2.06,15.34
19-06-2022 02:00,0,0.0,0,1.03,12.34
19-06-2022 03:00,0,0.0,0,0.51,12.34
19-06-2022 04:00,0,0.0,0,1.03,12.34
19-06-2022 05:00,0,0.0,0,1.03,12.34
19-06-2022 06:00,0,6.0,0,2.06,13.34
19-06-2022 07:00,0,16.0,0,3.6,13.34
19-06-2022 08:00,0,34.0,0,4.12,12.34
19-06-2022 09:00,0,56.99999999999999,0,6.17,13.34
19-06-2022 10:00,0,86.0,0,3.09,12.34
19-06-2022 11:00,0,114.0,0,5.66,12.34
19-06-2022 12:00,0,150.0,0,5.66,12.34
19-06-2022 13:00,0,159.0,0,4.63,12.34
19-06-2022 14:00,0,151.0,0,3.09,11.34
19-06-2022 15:00,0,215.0,0,4.12,12.34
19-06-2022 16:00,0,163.0,0,5.14,11.34
19-06-2022 17:00,0,108.0,0,3.6,11.34
19-06-2022 18:00,0,82.0,0,3.09,11.34
19-06-2022 19:00,0,39.0,0,2.57,11.34
19-06-2022 20:00,0,15.0,0,0.51,11.34
