Temperature,Wind speed,Wind power,Day sin,Day cos
-0.14375000000000002,3.435,7.99,0.2588190451020875,0.9659258262891843
-0.5075,2.6275,3.11,0.49999999999504074,0.8660254037873019
-1.0775,1.5274999999999999,3.24,0.7071067811787664,0.7071067811943288
-1.625,1.1500000000000001,4.79,0.8660254037835735,0.5000000000014985
-1.625,1.3299999999999998,3.56,0.9659258262872544,0.25881904510929005
-0.8475,1.08125,5.63,1.0,1.2285955050493769e-11
0.07750000000000001,1.62875,9.9,0.9659258262898478,-0.2588190450996115
1.28,3.0975,15.5,0.8660254037885835,-0.49999999999282085
2.2475,4.1025,22.9,0.7071067811858516,-0.7071067811872435
2.98,4.955,24.5,0.5000000000037184,-0.8660254037822919
3.39,5.415,26.7,0.25881904511176607,-0.9659258262865911
3.8800000000000003,5.577500000000001,17.4,2.9738397372143506e-13,-1.0
3.7025,5.705000000000001,17.9,-0.2588190450971355,-0.9659258262905113
3.7750000000000004,5.2875000000000005,11.4,-0.4999999999906009,-0.8660254037898653
3.2675,4.8,12.4,-0.707106781185431,-0.7071067811876641
3.2025,4.85,12.1,-0.8660254037810102,-0.5000000000059382
3.3675,4.56,19.5,-0.9659258262859276,-0.2588190451142421
3.5,3.9675,23.4,-1.0,-2.8607281253159537e-12
3.9,4.2875,28.7,-0.9659258262911747,0.2588190450946595
4.3525,4.65,31.6,-0.8660254037838709,0.5000000000009833
4.41,5.115,34.4,-0.7071067811894767,0.7071067811836185
4.302499999999999,5.4225,36.4,-0.5000000000081581,0.8660254037797285
4.4125,5.9750000000000005,35.4,-0.258819045102662,0.9659258262890305
4.4825,6.1875,32.3,-5.424072276910473e-12,1.0
4.46,5.447500000000001,31.0,0.2588190450921835,0.9659258262918381
4.17,5.235,35.2,0.49999999999876343,0.8660254037851526
4.29,5.625,33.1,0.7071067811818058,0.7071067811912892
4.1225,5.98,30.6,0.8660254037784468,0.5000000000103781
3.2825,6.1575,32.7,0.965925826288367,0.258819045105138
3.3000000000000003,6.4624999999999995,34.3,1.0,7.98741642850499e-12
3.7325,6.6325,32.8,0.9659258262925016,-0.2588190450897075
3.8800000000000003,6.23,32.2,0.8660254037864342,-0.4999999999965435
4.2875000000000005,6.4624999999999995,28.5,0.7071067811931018,-0.7071067811799933
4.6925,5.87,30.9,0.49999999999999567,-0.8660254037844412
4.74,6.6525,31.6,0.258819045107614,-0.9659258262877035
5.2299999999999995,7.205000000000001,29.2,1.0550760580099511e-11,-1.0
5.445,6.3725,30.5,-0.25881904510128756,-0.9659258262893987
6.172499999999999,6.97,30.0,-0.4999999999943236,-0.866025403787716
6.1575,6.177499999999999,29.7,-0.7071067811781807,-0.7071067811949143
6.05,6.305,31.9,-0.8660254037831595,-0.5000000000022156
5.875,5.8075,34.7,-0.9659258262870402,-0.25881904511009
5.7375,6.155,35.2,-1.0,-1.311410473169403e-11
5.45,6.669999999999999,35.6,-0.9659258262900622,0.25881904509881154
5.535,6.7749999999999995,35.2,-0.8660254037889976,0.49999999999210365
5.4925,6.642499999999999,33.9,-0.7071067811864371,0.7071067811866579
5.1075,7.1575,32.0,-0.5000000000044356,0.8660254037818778
4.885,6.9750000000000005,32.8,-0.258819045112566,0.9659258262863767
4.7175,6.4325,30.4,-1.125533654921696e-12,1.0
4.3825,5.669999999999999,22.1,0.2588190450963356,0.9659258262907257
4.215,5.6475,18.6,0.4999999999898837,0.8660254037902793
4.165,5.1225,16.0,0.7071067811848454,0.7071067811882497
4.165,4.825,14.7,0.8660254037805961,0.5000000000066555
4.06,4.4925,28.3,0.9659258262857132,0.258819045115042
4.09,4.7225,36.1,1.0,3.6888778065162145e-12
3.9249999999999994,6.760000000000001,34.0,0.965925826291389,-0.25881904509385956
3.8625000000000003,6.55,33.6,0.866025403784285,-0.5000000000002661
4.1875,6.5025,31.7,0.7071067811900622,-0.7071067811830328
4.535,7.2525,33.4,0.5000000000088753,-0.8660254037793145
5.225,7.3325,25.7,0.25881904510346193,-0.9659258262888161
4.9325,6.63,25.5,6.252221958110734e-12,-1.0
4.9775,5.635000000000001,19.9,-0.25881904509138354,-0.9659258262920525
4.755,5.484999999999999,17.2,-0.49999999999804623,-0.8660254037855667
5.0575,5.2075000000000005,18.1,-0.7071067811812203,-0.7071067811918748
5.19,4.7025,12.2,-0.8660254037780327,-0.5000000000110953
4.745,4.1875,14.1,-0.9659258262881527,-0.2588190451059379
4.5975,3.9499999999999997,12.1,-1.0,-8.815566109705253e-12
4.4425,3.7325,12.6,-0.9659258262889496,0.2588190451029636
4.405,3.6750000000000003,9.99,-0.8660254037868483,0.4999999999958263
