Time,PV power,Solar radiation,Wind power,Wind speed,Temperature
14-06-2022 02:00,0,0.0,0,8.87,12.29
14-06-2022 03:00,0,0.0,0,9.43,12.09
14-06-2022 04:00,0,0.0,0,9.76,11.9
14-06-2022 05:00,0,0.0,0,9.84,11.8
14-06-2022 06:00,0,23.0,0,9.53,11.83
14-06-2022 07:00,0,62.0,0,9.4,12.04
14-06-2022 08:00,0,131.0,0,9.14,12.27
14-06-2022 09:00,0,133.0,0,8.92,12.66
14-06-2022 10:00,0,201.0,0,9.04,13.09
14-06-2022 11:00,0,267.0,0,9.07,13.38
14-06-2022 12:00,0,311.0,0,9.35,13.47
14-06-2022 13:00,0,329.0,0,8.92,13.55
14-06-2022 14:00,0,313.0,0,9.53,14.01
14-06-2022 15:00,0,431.0,0,8.92,14.22
14-06-2022 16:00,0,327.0,0,8.37,14.37
14-06-2022 17:00,0,218.00000000000003,0,8.88,14.3
14-06-2022 18:00,0,145.0,0,6.17,15.34
14-06-2022 19:00,0,68.0,0,5.66,14.34
14-06-2022 20:00,0,26.0,0,6.17,14.34
14-06-2022 21:00,0,0.0,0,5.14,14.34
14-06-2022 22:00,0,0.0,0,4.63,13.34
14-06-2022 23:00,0,0.0,0,3.6,13.34
15-06-2022 00:00,0,0.0,0,3.6,13.34
15-06-2022 01:00,0,0.0,0,3.6,13.34
15-06-2022 02:00,0,0.0,0,3.6,13.34
15-06-2022 03:00,0,0.0,0,3.6,13.34
15-06-2022 04:00,0,0.0,0,3.09,13.34
15-06-2022 05:00,0,0.0,0,3.09,13.34
15-06-2022 06:00,0,20.0,0,3.6,13.34
15-06-2022 07:00,0,52.0,0,4.12,13.34
15-06-2022 08:00,0,109.0,0,3.6,13.34
15-06-2022 09:00,0,243.00000000000003,0,4.12,13.34
15-06-2022 10:00,0,368.0,0,3.6,14.34
15-06-2022 11:00,0,489.0,0,4.63,14.34
15-06-2022 12:00,0,598.0,0,4.63,15.34
15-06-2022 13:00,0,632.0,0,3.6,16.34
15-06-2022 14:00,0,602.0,0,4.63,16.34
15-06-2022 15:00,0,427.0,0,4.63,16.34
15-06-2022 16:00,0,324.0,0,3.6,15.34
15-06-2022 17:00,0,216.0,0,3.6,15.34
15-06-2022 18:00,0,136.0,0,4.12,15.34
15-06-2022 19:00,0,64.0,0,2.57,15.34
15-06-2022 20:00,0,25.0,0,3.09,14.34
15-06-2022 21:00,0,0.0,0,2.06,14.34
15-06-2022 22:00,0,0.0,0,1.54,13.34
15-06-2022 23:00,0,0.0,0,1.03,13.34
16-06-2022 00:00,0,0.0,0,2.06,13.34
16-06-2022 01:00,0,0.0,0,1.03,13.34
16-06-2022 02:00,0,0.0,0,0.0,10.34
16-06-2022 03:00,0,0.0,0,1.03,10.34
16-06-2022 04:00,0,0.0,0,1.03,10.34
16-06-2022 05:00,0,0.0,0,0.51,11.34
16-06-2022 06:00,0,19.0,0,0.51,12.34
16-06-2022 07:00,0,51.0,0,0.51,13.34
16-06-2022 08:00,0,108.0,0,1.54,14.34
16-06-2022 09:00,0,191.0,0,2.57,14.34
16-06-2022 10:00,0,291.0,0,3.09,14.34
16-06-2022 11:00,0,386.0,0,4.12,15.34
16-06-2022 12:00,0,469.00000000000006,0,4.12,15.34
16-06-2022 13:00,0,497.0,0,4.63,15.34
16-06-2022 14:00,0,473.00000000000006,0,5.14,16.34
16-06-2022 15:00,0,492.0,0,5.14,15.34
16-06-2022 16:00,0,374.0,0,5.14,17.34
16-06-2022 17:00,0,250.0,0,5.14,16.34
16-06-2022 18:00,0,146.0,0,5.14,16.34
16-06-2022 19:00,0,70.0,0,5.14,16.34
16-06-2022 20:00,0,27.0,0,5.66,15.34
16-06-2022 21:00,0,0.0,0,3.6,15.34
16-06-2022 22:00,0,0.0,0,5.14,14.34
16-06-2022 23:00,0,0.0,0,4.12,15.34
17-06-2022 00:00,0,0.0,0,4.12,15.34
17-06-2022 01:00,0,0.0,0,5.66,15.34
17-06-2022 02:00,0,0.0,0,4.63,14.34
17-06-2022 03:00,0,0.0,0,5.14,13.34
17-06-2022 04:00,0,0.0,0,5.66,13.34
17-06-2022 05:00,0,0.0,0,4.12,13.34
17-06-2022 06:00,0,26.0,0,4.63,14.34
17-06-2022 07:00,0,69.0,0,4.12,14.34
17-06-2022 08:00,0,147.0,0,5.14,14.34
17-06-2022 09:00,0,262.0,0,5.14,15.34
17-06-2022 10:00,0,397.0,0,4.63,15.34
17-06-2022 11:00,0,527.0,0,4.63,15.34
17-06-2022 12:00,0,595.0,0,4.12,16.34
17-06-2022 13:00,0,630.0,0,3.6,16.34
17-06-2022 14:00,0,599.0,0,4.12,17.34
17-06-2022 15:00,0,411.00000000000006,0,5.14,17.34
17-06-2022 16:00,0,312.0,0,4.63,17.34
17-06-2022 17:00,0,207.0,0,4.12,17.34
17-06-2022 18:00,0,123.0,0,4.12,17.34
17-06-2022 19:00,0,57.99999999999999,0,3.09,16.34
17-06-2022 20:00,0,22.0,0,2.06,15.34
17-06-2022 21:00,0,0.0,0,2.06,16.34
17-06-2022 22:00,0,0.0,0,1.54,14.34
